user_id,city,session_date,stale_saved_address,app_opened,browsed,added_to_cart,reached_checkout,order_placed
1,Hyderabad,2026-05-29,False,True,True,False,False,False
2,Mumbai,2026-05-19,False,True,True,True,True,True
3,Pune,2026-05-02,True,True,True,False,False,False
4,Hyderabad,2026-05-21,True,True,True,True,True,True
5,Mumbai,2026-05-28,False,True,False,False,False,False
6,Kolkata,2026-06-16,False,True,True,True,True,True
7,Pune,2026-05-09,False,True,True,False,False,False
8,Mumbai,2026-06-27,False,True,True,True,True,True
9,Pune,2026-05-08,False,True,True,False,False,False
10,Hyderabad,2026-05-02,False,True,True,True,True,True
11,Hyderabad,2026-06-03,False,True,True,False,False,False
12,Kolkata,2026-05-23,False,True,True,False,False,False
13,Pune,2026-05-18,False,True,True,True,True,True
14,Pune,2026-05-15,False,True,True,True,True,True
15,Bengaluru,2026-06-20,False,True,True,False,False,False
16,Pune,2026-06-11,False,True,True,True,True,True
17,Kolkata,2026-05-24,False,True,True,True,True,True
18,Kolkata,2026-05-03,False,True,True,True,True,True
19,Mumbai,2026-06-11,False,True,True,True,True,True
20,Hyderabad,2026-05-30,False,True,True,True,True,False
21,Bengaluru,2026-06-20,False,True,True,False,False,False
22,Delhi,2026-06-22,True,True,True,False,False,False
23,Kolkata,2026-05-11,False,True,True,True,False,False
24,Delhi,2026-06-26,False,True,True,True,True,True
25,Bengaluru,2026-05-09,False,True,True,False,False,False
26,Bengaluru,2026-06-23,False,True,True,True,True,True
27,Hyderabad,2026-06-08,False,True,True,True,True,True
28,Mumbai,2026-05-28,False,True,True,True,True,True
29,Hyderabad,2026-05-26,False,True,False,False,False,False
30,Hyderabad,2026-06-24,False,True,True,True,True,True
31,Kolkata,2026-05-22,False,True,True,True,True,True
32,Pune,2026-05-03,True,True,True,False,False,False
33,Bengaluru,2026-05-19,False,True,True,True,True,True
34,Delhi,2026-05-11,False,True,True,True,False,False
35,Bengaluru,2026-05-07,False,True,True,False,False,False
36,Hyderabad,2026-06-18,False,True,True,True,False,False
37,Bengaluru,2026-06-24,False,True,True,True,False,False
38,Kolkata,2026-06-25,False,True,False,False,False,False
39,Delhi,2026-05-08,False,True,True,False,False,False
40,Kolkata,2026-05-25,True,True,True,True,False,False
41,Kolkata,2026-06-04,False,True,True,True,True,True
42,Hyderabad,2026-06-25,False,True,True,False,False,False
43,Delhi,2026-06-17,False,True,True,True,True,False
44,Pune,2026-06-20,False,True,False,False,False,False
45,Mumbai,2026-05-21,False,True,True,True,True,True
46,Bengaluru,2026-05-04,True,True,True,False,False,False
47,Hyderabad,2026-05-30,False,True,False,False,False,False
48,Bengaluru,2026-06-29,False,True,True,False,False,False
49,Pune,2026-05-31,False,True,False,False,False,False
50,Pune,2026-05-21,False,True,True,True,True,True
51,Kolkata,2026-06-27,True,True,False,False,False,False
52,Mumbai,2026-06-01,False,True,True,True,True,True
53,Delhi,2026-05-09,False,True,True,True,False,False
54,Bengaluru,2026-06-19,False,True,True,False,False,False
55,Delhi,2026-06-05,False,True,True,False,False,False
56,Kolkata,2026-05-12,True,True,False,False,False,False
57,Mumbai,2026-05-02,False,True,True,False,False,False
58,Mumbai,2026-05-22,True,True,True,True,False,False
59,Kolkata,2026-06-12,False,True,True,True,True,True
60,Hyderabad,2026-05-06,False,True,True,True,True,True
61,Pune,2026-06-19,False,True,True,True,True,True
62,Mumbai,2026-06-06,False,True,True,True,True,True
63,Mumbai,2026-05-01,True,True,True,True,True,False
64,Delhi,2026-05-16,False,True,True,False,False,False
65,Pune,2026-06-24,True,True,True,True,True,True
66,Hyderabad,2026-05-05,False,True,True,True,True,True
67,Mumbai,2026-06-17,False,True,True,True,True,True
68,Kolkata,2026-05-05,False,True,False,False,False,False
69,Mumbai,2026-06-27,False,True,False,False,False,False
70,Pune,2026-06-14,False,True,True,True,True,True
71,Bengaluru,2026-05-20,False,True,True,True,True,True
72,Pune,2026-05-12,False,True,True,False,False,False
73,Hyderabad,2026-05-29,True,True,True,True,True,True
74,Delhi,2026-05-26,True,True,True,False,False,False
75,Mumbai,2026-06-20,False,True,True,True,True,True
76,Hyderabad,2026-05-25,True,True,True,True,False,False
77,Bengaluru,2026-06-18,False,True,True,True,True,True
78,Pune,2026-05-12,False,True,True,False,False,False
79,Delhi,2026-05-30,False,True,False,False,False,False
80,Delhi,2026-05-22,True,True,True,True,False,False
81,Bengaluru,2026-05-12,False,True,True,False,False,False
82,Hyderabad,2026-05-19,True,True,True,True,False,False
83,Hyderabad,2026-06-28,False,True,True,False,False,False
84,Pune,2026-06-22,False,True,True,True,True,True
85,Bengaluru,2026-05-11,False,True,True,True,True,True
86,Kolkata,2026-05-13,False,True,True,True,True,True
87,Kolkata,2026-05-19,False,True,True,False,False,False
88,Delhi,2026-05-07,False,True,False,False,False,False
89,Kolkata,2026-06-29,False,True,True,False,False,False
90,Bengaluru,2026-05-10,True,True,False,False,False,False
91,Bengaluru,2026-06-14,True,True,True,True,True,True
92,Delhi,2026-06-08,False,True,True,True,True,True
93,Delhi,2026-06-07,False,True,True,False,False,False
94,Pune,2026-06-16,False,True,False,False,False,False
95,Bengaluru,2026-06-29,False,True,True,True,True,True
96,Kolkata,2026-05-15,False,True,True,False,False,False
97,Delhi,2026-05-11,False,True,True,False,False,False
98,Hyderabad,2026-05-24,True,True,True,True,True,True
99,Mumbai,2026-05-28,False,True,True,False,False,False
100,Kolkata,2026-05-17,False,True,True,True,True,True
101,Bengaluru,2026-05-06,False,True,False,False,False,False
102,Delhi,2026-05-02,False,True,True,False,False,False
103,Pune,2026-06-24,False,True,True,False,False,False
104,Delhi,2026-05-11,False,True,True,True,False,False
105,Pune,2026-06-02,False,True,True,True,True,True
106,Delhi,2026-05-05,False,True,False,False,False,False
107,Pune,2026-05-23,False,True,True,False,False,False
108,Delhi,2026-05-21,False,True,True,True,True,True
109,Delhi,2026-06-09,True,True,True,True,False,False
110,Mumbai,2026-06-23,False,True,True,True,True,True
111,Kolkata,2026-06-28,True,True,True,True,False,False
112,Pune,2026-05-14,True,True,True,True,True,True
113,Mumbai,2026-05-18,False,True,True,True,True,True
114,Hyderabad,2026-05-30,False,True,True,False,False,False
115,Hyderabad,2026-05-10,False,True,False,False,False,False
116,Hyderabad,2026-05-20,False,True,True,False,False,False
117,Pune,2026-06-12,False,True,True,True,True,True
118,Bengaluru,2026-06-23,False,True,True,True,True,True
119,Bengaluru,2026-05-29,False,True,False,False,False,False
120,Bengaluru,2026-05-19,False,True,True,True,True,True
121,Pune,2026-06-10,True,True,True,False,False,False
122,Mumbai,2026-06-14,False,True,True,True,True,True
123,Bengaluru,2026-06-17,False,True,True,True,True,True
124,Kolkata,2026-05-14,False,True,True,True,True,True
125,Bengaluru,2026-05-07,False,True,True,False,False,False
126,Hyderabad,2026-06-14,False,True,True,True,True,True
127,Hyderabad,2026-05-10,True,True,True,False,False,False
128,Kolkata,2026-06-13,False,True,True,True,True,True
129,Mumbai,2026-06-16,False,True,True,False,False,False
130,Delhi,2026-06-13,False,True,True,True,True,True
131,Bengaluru,2026-06-14,True,True,True,False,False,False
132,Pune,2026-05-06,False,True,True,True,True,True
133,Delhi,2026-06-24,False,True,True,True,False,False
134,Kolkata,2026-05-02,True,True,True,False,False,False
135,Kolkata,2026-06-18,False,True,True,False,False,False
136,Mumbai,2026-05-15,False,True,True,True,True,False
137,Hyderabad,2026-05-19,False,True,True,False,False,False
138,Delhi,2026-05-26,False,True,True,True,False,False
139,Pune,2026-06-12,False,True,True,True,True,True
140,Mumbai,2026-05-13,True,True,True,True,True,True
141,Kolkata,2026-06-24,False,True,True,True,True,True
142,Pune,2026-06-25,True,True,False,False,False,False
143,Bengaluru,2026-06-04,False,True,False,False,False,False
144,Hyderabad,2026-05-29,True,True,True,False,False,False
145,Kolkata,2026-06-04,False,True,True,False,False,False
146,Mumbai,2026-05-04,False,True,True,True,True,True
147,Bengaluru,2026-06-07,False,True,True,True,True,True
148,Mumbai,2026-05-14,False,True,True,True,True,True
149,Bengaluru,2026-05-08,False,True,True,True,True,True
150,Bengaluru,2026-06-05,False,True,False,False,False,False
151,Pune,2026-06-06,True,True,True,True,False,False
152,Pune,2026-06-28,False,True,True,True,True,True
153,Hyderabad,2026-06-25,False,True,True,True,True,True
154,Bengaluru,2026-05-31,False,True,True,True,True,True
155,Kolkata,2026-05-10,False,True,True,True,True,True
156,Mumbai,2026-05-13,False,True,True,True,True,True
157,Hyderabad,2026-06-05,False,True,False,False,False,False
158,Pune,2026-05-08,False,True,True,False,False,False
159,Delhi,2026-06-23,False,True,True,True,False,False
160,Delhi,2026-06-15,True,True,True,True,False,False
161,Delhi,2026-06-23,False,True,True,True,True,True
162,Hyderabad,2026-06-26,False,True,True,True,True,True
163,Mumbai,2026-05-07,False,True,True,False,False,False
164,Bengaluru,2026-06-28,True,True,True,True,False,False
165,Kolkata,2026-06-22,False,True,False,False,False,False
166,Bengaluru,2026-05-22,False,True,True,True,False,False
167,Delhi,2026-06-18,False,True,True,False,False,False
168,Delhi,2026-05-07,False,True,True,True,True,True
169,Kolkata,2026-05-29,False,True,True,True,True,True
170,Bengaluru,2026-06-16,False,True,True,True,True,True
171,Hyderabad,2026-05-01,False,True,True,True,True,True
172,Mumbai,2026-06-29,False,True,True,False,False,False
173,Pune,2026-05-08,False,True,True,True,True,True
174,Kolkata,2026-06-26,False,True,True,True,True,True
175,Kolkata,2026-06-01,False,True,True,False,False,False
176,Pune,2026-06-23,False,True,True,True,True,True
177,Pune,2026-05-19,False,True,True,False,False,False
178,Mumbai,2026-05-02,False,True,False,False,False,False
179,Bengaluru,2026-06-11,True,True,True,True,False,False
180,Pune,2026-06-07,False,True,True,True,True,False
181,Hyderabad,2026-05-24,False,True,True,True,True,True
182,Mumbai,2026-06-20,False,True,True,False,False,False
183,Delhi,2026-06-08,False,True,True,False,False,False
184,Mumbai,2026-06-27,False,True,False,False,False,False
185,Pune,2026-05-11,False,True,True,True,True,True
186,Pune,2026-05-25,True,True,True,False,False,False
187,Kolkata,2026-05-21,False,True,True,True,True,True
188,Pune,2026-05-07,False,True,True,False,False,False
189,Kolkata,2026-06-27,False,True,True,True,True,True
190,Bengaluru,2026-05-26,False,True,True,False,False,False
191,Hyderabad,2026-06-18,False,True,True,True,True,False
192,Kolkata,2026-05-05,False,True,True,True,True,True
193,Delhi,2026-06-28,False,True,True,True,True,True
194,Delhi,2026-05-01,False,True,True,False,False,False
195,Bengaluru,2026-05-03,False,True,True,True,True,True
196,Pune,2026-06-13,False,True,True,False,False,False
197,Delhi,2026-06-24,False,True,True,True,False,False
